Nome Trabalho;Nome Evento Cadastrado;Nome Evento Canônico
Comparing 4-bits Adders Topologies on 32nm.;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
Evaluation of Variability Through Schmitt Trigger Technique on CMOS Full Adder Layout.;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
Analyze of Permanent and Transient Faults in 6T SRAM cell;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
PVT variation impact on 16nm SRAM cells;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
Investigating Schmitt Trigger Inverters behavior at 16nm technologies;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
16nm XOR behavior under PVT variability: Tri-Gate versus bulk CMOS;SIM - Simposio Sul de Microeletrônica;SIMPÓSIO SUL DE MICROELETRÔNICA
Reducing variability impact on 7nm Mirror CMOS Layout;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
Comparing the Performance of 4-bits Adders Topologies on Sub 32nm Bulk CMOS Technologies;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
How Different Transistor Arrangements Impact Process Variability and Radiation Effects;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
Investigating CMOS Inverters Noise Margins at Different Technologic Nodes;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
Comparing the SEU Robustness of 6T and 8T-SER SRAM cells at 16nm;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
AVALIAÇÃO DOS EFEITOS DE FALHAS DO TIPO SINGLE EVENT UPSET SOBRE CÉLULAS DE MEMÓRIA SRAM NA TECNOLOGIA DE 16nm;MCSUL - Conferência Sul em Modelagem Computacional;CONFERÊNCIA SUL EM MODELAGEM COMPUTACIONAL
AVALIAÇÃO DE ALGORITMOS DE LEGALIZAÇÃO EM CIRCUITOS VLSI;MCSul - Conferência Sul em Modelagem Computacional;CONFERÊNCIA SUL EM MODELAGEM COMPUTACIONAL
Process Variability Challenges for Radiation Mitigation Techniques on 16nm;10th LASCAS - IEEE Latin American Symposium on Circuits and Systems;IEEE Latin American Symposium on Circuits and Systems
A Library for Services Transparent Replication;SAC - 34th ACM Symposium on Applied Computing, DADS Track;ACM Symposium on Applied Computing
Low Energy and Process Variability Analysis over FinFET Schmitt Trigger Design;WCAS - Workshop on Circuits and System Design;Workshop on Circuits and Systems Design
Performance Evaluation of Arithmetic Blocks at 16nm Technology;WCAS - Workshop on Circuits and System Design;Workshop on Circuits and Systems Design
Radiation Robustness Evaluation on XOR Logic Gates at 16nm CMOS and FinFET Technology;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
Evaluating Approximated Full Adders at 16nm;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
Evaluating Energy and Delay of DICE and PDICE SRAM Cells at 32nm Technology;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
A Comparative Evaluation of SRAM topologies;SFORUM - Microelectronics Students Forum;Microelectronics Students Forum
FinFET Variability and Near-Threshold Operation: Impact on Full Adders Design Using XOR Blocks;26th IEEE International Conference on Electronics Circuits and Systems (ICECS);IEEE International Conference on Electronics, Circuits and Systems
Sleep Transistors to Improve the Process Variability and Soft Error Susceptibility;26th IEEE International Conference on Electronics Circuits and Systems (ICECS);IEEE International Conference on Electronics, Circuits and Systems
FBM: a Simple and Fast Algorithm for Placement Legalization;26th IEEE International Conference on Electronics Circuits and Systems (ICECS);IEEE International Conference on Electronics, Circuits and Systems
