SIGLA;Nome Padrão;Qualis 2016
SRDS;IEEE Symposium on Reliable Distributed Systems;B1
CBMS;International Symposium on Computer-Based Medical Systems;B1
CSCWD;IEEE International Conference on Computer Supported Cooperative Work in Design;B1
SAFECOMP;International Conference on Computer Safety, Reliability, and Security;B1
VLHCC;IEEE Symposium on Visual Languages and Human-Centric Computing;B1
ESCIENCE;cience - IEEE International Conference on e-Science;B1
ICAR;International Conference on Advanced Robotics;B1
ICEC;IFIP International Conference on Entertainment Computing;B1
ICMC;International Computer Music Conference;B1
SBIE;Simpósio Brasileiro de Informática na Educação;B1
SSTD;International Symposium on Spatial and Temporal Databases;B1
WABI;Workshop on Algorithms in Bioinformatics;B1
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;B1
AGILE;Agile Conference;B1
ICFHR;International Conference on Frontiers in Handwriting Recognition;B1
LCN;IEEE Conference on Local Computer Networks;B1
MMSP;International Workshop on Multimedia and Signal Processing;B1
ECTEL;European Conference on Technology Enhanced Learning;B1
EMO;International Conference on Evolutionary Multi-Criterion Optimization;B1
IAT;IEEE/WIC/ACM International Conference on Intelligent Agent Technology;B1
ICDSP;IEEE International Conference on Digital Signal Processing;B1
ICONIP;International Conference on Neural Information Processing;B1
LION;Learning and Intelligent Optimization Conference;B1
MLSP;IEEE International Workshop on Machine Learning for Signal Processing;B1
MSWIM;ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems;B1
PCS;Picture Coding Symposium;B1
W4A;Conference on Web Accessibility;B1
WI-IAT;AT - IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology;B1
CCECE;Canadian Conference on Electrical and Computer Engineering;B1
DAS;International Workshop on Document Analysis Systems;B1
DGO;Annual International Conference on Digital Government Research;B1
ECSA;European Conference on Software Architecture;B1
EVOAPPLICATIONS;European Conference on the Applications of Evolutionary Computation;B1
HPCS;International Conference on High Performance Computing & Simulation;B1
ICT;International Conference on Telecommunications;B1
ISQED;International Symposium on Quality Electronic Design;B1
ITNG;International Conference on Information Technology : New Generations;B1
PETRA;ACM International Conference on PErvasive Technologies Related to Assistive Environments;B1
RCIS;International Conference on Research Challenges in Information Science;B1
REFSQ;International Working Conference on Requirements Engineering: Foundations for Software Quality;B1
RFID;IEEE International Conference on RFID;B1
ROBOCUP;Robocup International Symposium;B1
SASO;International Conference on Self-Adaptive and Self-Organizing Systems;B1
